"New Asset
(ค.ศ.)",Status,Function,Device IP,Device Name,Sub_System,CodeID,Section,Center,Station,Brand,Model,Serial Number,IP Address Scan,Mac Address Scan,C,I,A,IP,ส่วนงานฯ,สถานี,อุปกรณ์ (Host_ID)
A16-0491,ใช้งาน,,5,ระบบ_Monitor&Control,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Audemat,Goldeagle DVB-T2,000169,10.1.1.5,00:60:E0:5C:A6:2C,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,5
A14-0527,ใช้งาน,Main,11,Integrated_Receiver_Decoder,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Harmonic,Proview 7100/7110,161414234,10.1.1.11,00:0C:A2:24:16:18,3 - สูง,3 - สูง,3 - สูง,10,1,1,11
A14-0540,ใช้งาน,Backup,12,Integrated_Receiver_Decoder,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Harmonic,Proview 7100/7110,161414238,10.1.1.12,00:0C:A2:24:16:6C,3 - สูง,3 - สูง,3 - สูง,10,1,1,12
A14-0638,ใช้งาน,Main,13,T2_Generator,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,ENENSYS,T2-EdgeDTH,070054LAU261400067,10.1.1.13,00:19:DC:36:FF:8B,3 - สูง,3 - สูง,3 - สูง,10,1,1,13
A16-0251,ใช้งาน,Backup,14,T2_Generator,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,ENENSYS,HDm-T2Edge_DTH/98-07-0055,070055LAU411500556,10.1.1.14,00:19:DC:27:B5:DC,3 - สูง,3 - สูง,3 - สูง,10,1,1,14
A16-0265,ใช้งาน,,15,Seamless_Switch,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,ENENSYS,HDm-ASIIPGuard/98-04-0023,070055LAU451500686,10.1.1.15,00:19:DC:37:00:03,3 - สูง,3 - สูง,3 - สูง,10,1,1,15
A16-0564,สำรอง,,17,T2_Generator,TIE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,ENENSYS,HDm-T2Edge_DTH/98-07-0055,070055LAU491500731,10.1.1.17,00:19:DC:27:B3:78,3 - สูง,3 - สูง,3 - สูง,10,1,1,17
A14-0339,ใช้งาน,,19,Ethernet_Switches,IT,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Cisco,WS-C2960X-24TS-L,FDO1823B12V,10.1.1.19,50:06:AB:61:74:C2,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,19
A16-0309,ใช้งาน,,20,Ethernet_Switches,IT,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Cisco,WS-C2960XR-24TS-I,FDO1941B14Y,10.1.1.20,00:08:2F:57:49:C2,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,20
A17-0823,ใช้งาน,,21,Digital_Video_Recorder,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,Dahua,DH-HCVR7216A-S3,2K04582PAEL1V7B,10.1.1.21,3C:EF:8C:14:C7:8A,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,21
A14-0802,ใช้งาน,,23,Uninterruptible_Power_Supply,EE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,APC,Galaxy 5500,IJ-3NCQ33039001,10.1.1.23,00:C0:B7:87:2E:2E,3 - สูง,3 - สูง,3 - สูง,10,1,1,23
A14-0100,ใช้งาน,Main,31,T2-Modulator,TVTX,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,NEC,DM-5000,F0086/R,10.1.1.31,00:13:59:00:63:A9,3 - สูง,3 - สูง,3 - สูง,10,1,1,31
A14-0100,ใช้งาน,Backup,32,T2-Modulator,TVTX,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,NEC,DM-5000,F0085/R,10.1.1.32,00:13:59:00:54:A9,3 - สูง,3 - สูง,3 - สูง,10,1,1,32
A14-0100,ใช้งาน,Main,33,TX_Control,TVTX,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,NEC,HPC-1605,F0005/R,10.1.1.33,00:00:4C:18:91:E7,3 - สูง,3 - สูง,3 - สูง,10,1,1,33
A14-0100,ใช้งาน,Backup,34,TX_Control,TVTX,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,NEC,HPC-1605,F0006/R,10.1.1.34,00:00:4C:18:91:E8,3 - สูง,3 - สูง,3 - สูง,10,1,1,34
--,,,,Coxial_Interface,TVTX,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,NEC,HPC-1376,F0071R,,Not Used,3 - สูง,3 - สูง,3 - สูง,10,1,1,
--,2,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,SAMART,STORNG,0101130908367,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,ยกเลิก,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,PLANETCOMM,DTR-T2A,03010114080079890,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,2,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,SONORE,DTV1,10411091464165,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,ยกเลิก,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,FAMILY,DR-111,1110009007,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,ใช้งาน,,,Electric_Meter,EE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,,,1440107H,,Not Used,3 - สูง,3 - สูง,3 - สูง,10,1,1,
--,ใช้งาน,,,Electric_Meter,EE,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,,,1460137H,,Not Used,3 - สูง,3 - สูง,3 - สูง,10,1,1,
--,2,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,ZEASON,T2,2010914048785,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,2,,,Set_Top_BOX,M&C,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,MyBox,DR-T2A,20141000739,,Not Used,2 - ปานกลาง,2 - ปานกลาง,2 - ปานกลาง,10,1,1,
--,ใช้งาน,,,Blower,Tools,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,BOSCH,GBL800E,412D14133,,Not Used,1 - ต่ำ,1 - ต่ำ,1 - ต่ำ,10,1,1,
--,ใช้งาน,,,Infrared_Thermometers,MEAS,R11_BKK,ระบบส่งสัญญาณภาค 1,ส่วนงานวิศวกรรมกรุงเทพ,กรุงเทพ,FLUKE,62 MAX,49811237WS,,Not Used,1 - ต่ำ,1 - ต่ำ,1 - ต่ำ,10,1,1,
